
# Format: epsg code, shortname, name, semi-major-axis (a), semi-minor-axis (b), flattening, comment
0   , "undefined",        "Undefined",       nan, nan, nan,                 "undefined ellipsoid"
1024, "cgcs",             "CGCS2000",         6378137,nan,298.257222101,    "Defining parameters semi-major axis, flattening and angular velocity are same as for GRS 1980 (ellipsoid code 7019); GM = 3986004.4e8 m*m*m/s/s (from NASA 1986 Lageos determination)."
7001, "airy1830",         "Airy 1830",           6377563396,nan,299.3249646,   "Original definition is a=20923713, b=20853810 feet of 1796. 1/f is given to 7 decimal places. For the 1936 retriangulation OSGB defines the relationship of 10 feet of 1796 to the International metre through ([10^0.48401603]/10) exactly = 0.3048007491..."
7002, "airy1849Mod",      "Airy 1849 Modified",        6377340189,nan,299.3249646,   "OSGB Airy 1830 figure (ellipsoid code 7001) rescaled by 0.999965 to best fit the scale of the 19th century primary triangulation of Ireland."
7003, "australian",       "Australian National Spheroid", 6378160,nan,298.25,           "Based on the GRS 1967 figure but with 1/f taken to 2 decimal places exactly.  The dimensions are also used as the GRS 1967 Modified ellipsoid (see code 7050)."
7004, "bessel1841",       "Bessel 1841",        6377397155,nan,299.1528128,   "Original Bessel definition is a=3272077.14 and b=3261139.33 toise. This used a weighted mean of values from several authors but did not account for differences in the length of the various toise: the Bessel toise is therefore of uncertain length."
7005, "besselMod",        "Bessel Modified",         6377492018,nan,299.1528128,   "Used in Norway and also in Sweden with a 1mm increase in semi-major axis."
7006, "besselNamiba",     "Bessel Namibia",     6377483865,nan,299.1528128,   "a = 6377397.155 German legal metres. This is the same value as the Bessel 1841 figure (code 7004) but in different units.  Used in Namibia."
7007, "clarke1858",       "Clarke 1858",        6378293.639,nan,294.2606764,        "Clarkes 1858/II solution. Derived parameters: a = 6378293.645m using his 1865 ratio of 0.3047972654 feet per metre; 1/f = 294.26068Â…  In Australia and Amoco Trinidad 1/f taken to two decimal places (294.26 exactly); elsewhere a and b used to derive 1/f."
7008, "clarke1866",       "Clarke 1866",        6378206.4,6356583.8,nan,      "Original definition a=20926062 and b=20855121 (British) feet. Uses Clarkes 1865 inch-metre ratio of 39.370432 to obtain metres. (Metric value then converted to US survey feet for use in the US and international feet for use in Cayman Islands)."
7010, "clarke1880Benoit", "Clarke 1880 Benoit",  6378300789,6356566435,nan,   "Adopts Clarkes values for a and b.  Uses Benoits 1895 ratio of 0.9143992 metres per yard to convert to metres."
7011, "clarke1880IGN",    "Clarke 1880 IGN",     6378249.2,6356515,nan,         "Adopts Clarkes values for a and b using his 1865 ratio of 39.370432 inches per metre to convert axes to metres."
7012, "clarke1880RGS",    "Clarke 1880 RGS",     6378249145,nan,293465,         "Adopts Clarkes values for a and 1/f.  Adopts his 1865 ratio of 39.370432 inches per metre to convert semi-major axis to metres. Also known as Clarke Modified 1880."
